numleaves, totgauss, wer
1000,6309,45.81
1000,15848,47.09
1000,39810,46.77
2000,1000,52.14
2000,2511,46.71
2000,6309,45.24
2000,15848,44.60
2000,39810,43.96
3000,1000,49.39
3000,2511,48.24
3000,6309,44.86
3000,15848,45.88
3000,39810,45.56
4000,1000,47.86
4000,2511,48.18
4000,6309,45.18
4000,15848,46.71
4000,39810,45.62
5000,1000,46.39
5000,2511,46.39
5000,6309,45.18
5000,15848,46.13
5000,39810,45.43
6000,1000,46.77
6000,2511,46.77
6000,6309,44.86
6000,15848,45.05
6000,39810,46.20
7000,1000,45.37
7000,2511,45.37
7000,6309,45.69
7000,15848,45.88
7000,39810,45.43
8000,1000,45.18
8000,2511,45.18
8000,6309,45.62
8000,15848,44.54
8000,39810,46.01
9000,1000,45.94
9000,2511,46.01
9000,6309,44.79
9000,15848,45.43
9000,39810,46.71
10000,1000,46.07
10000,2511,46.07
10000,6309,46.33
10000,15848,45.05
10000,39810,45.88
9500,15848,44.35
10500,15848,44.98
2000,15848,44.98
3000,15848,45.37
4000,15848,44.92
5000,15848,45.56
6000,15848,45.69
7000,15848,44.98
8000,15848,45.56
5500,15848,45.56
6500,15848,45.69
7500,15848,44.98
8500,15848,45.56
9500,15848,45.56
